sys_key,name,account,bets,pl_bf,roi_pct
noggin:66,SS AW WON HIGHER CLASS 8.01-1000.00,noggin,127,270.61699999999996,213.08
noggin:64,FIRST RUN OF SEASON,noggin,107,152.316,142.35
noggin3:23,SS 4YO 5F 5.5F 9.01 - 1000.00,noggin3,164,190.10999999999999,115.92
noggin:23,SS 4YO 5F 5.5F 9.01 - 1000.00,noggin,164,190.10999999999999,115.92
noggin5:97,SS 4YO GB STRAIGHTS UK,noggin5,224,249.00649999999996,111.16
noggin:33,SS Ed WALKER 1 LH DSLR,noggin,120,132.14499999999998,110.12
noggin:2,7YO 8YO FLAT - NH LTO,noggin,188,200.9965,106.91
noggin2:39,Elliott Gordon Hurdles NH Flat ALL BSPs,noggin2,201,214.526,106.73
noggin5:34,Bev EllisonB,noggin5,108,112.441,104.11
noggin:89,SS HDGRdiff 80.01 - 250.00,noggin,149,145.60000000000002,97.72
noggin4:65,RYAN K 6-11 Runs Code 2.01 - 80.00,noggin4,128,124.06349999999999,96.92
noggin4:7,2YOs 1 Horse at Track 9.01 - 1000.00,noggin4,374,357.8745,95.69
noggin3:28,UK TURF VISOR 30.01 - 65.00,noggin3,432,376.9155,87.25
noggin:9,SS HDGRdiff JAN-APRIL 8.01 - 1000.00,noggin,211,181.176,85.87
noggin4:23,TRESEARCH - JockClaim v LTO,noggin4,282,199.54399999999998,70.76
noggin5:62,9YOs 10YOs 9YOs 10YOs,noggin5,190,128.87050000000002,67.83
noggin3:71,5YO SPRINTS,noggin3,436,284.324,65.21
noggin3:94,FMs FLAT JUNE 9.01 - 200.00 diff HDGR,noggin3,195,124.53399999999999,63.86
noggin:34,SS Ed WALKER 2 STRTs,noggin,125,79.776,63.82
noggin3:13,SS 2YOs JUL-SEP 18.01 - 1000.00,noggin3,404,257.2915,63.69
noggin:67,SS NH C WINNER 30.01 - 1000.00,noggin,138,80.624,58.42
noggin:39,TURF 5lb 7lb JOCK MAY AUG SEP,noggin,152,85.41449999999999,56.19
noggin:65,5YO 6f AUTUMN,noggin,500,280.2595,56.05
noggin2:21,HDGRdiff class6 - 7 BSP12.01-300,noggin2,1145,639.5635,55.86
noggin:7,7YO FLAT part 1A not GB,noggin,245,135.42849999999999,55.28
noggin:56,SS FT HCP 6f-7f 26.01 - 1000.00,noggin,447,240.02999999999997,53.7
noggin:44,AW LTO WLTO 3YO-7YO,noggin,511,271.7425,53.18
noggin:20,7YOs AW LTO LL,noggin,577,292.992,50.78
noggin3:89,SS AW 6F HDGRdiff 8.01 - 65.00,noggin3,109,54.13749999999999,49.67
noggin3:49,4YO STRAIGHTS 12.01 - 1000.00,noggin3,5120,2498.4404999999997,48.8
noggin5:26,CHELT IRISH 2023,noggin5,259,121.5715,46.94
noggin3:60,STRs 10 DSLR or less,noggin3,2407,1118.8505,46.48
noggin3:38,CHEP 2021 STRAIGHTS 6YO 7YO 2021,noggin3,340,153.69449999999998,45.2
noggin:99,SS HDGRdiff STRTs 7.01 - 500.00,noggin,381,171.0645,44.9
noggin5:57,SS FLAT NewTRNR 0-6 RUNS 3.01 - 65.00,noggin5,273,121.49149999999999,44.5
