sys_key,name,bets,ROI%_flat,ROI%_cap5,has_odds_filter
noggin:96,IRISH FLAT FM v1 11.01 - 200.00,518,-4.26,2.86,False
noggin4:100,SEP 1 - 60 DSLR 2YO 3YO,668,-3.38,3.82,False
noggin4:85,SS week 28-38 7.01 - 80.00,351,-3.29,-5.32,False
noggin:90,MM AW SOUTHWELL 7.01 - 50.00 MM,456,-3.24,-16.9,False
noggin:29,7YO FLAT 0 or 1 runs season,483,-3.23,6.28,False
noggin2:85,Bin Suroor 2YO TURF,139,-3.16,51.66,False
noggin4:37,1 down VISOR 10.01 - 65.00,3352,-2.83,3.91,False
noggin4:67,SS 3 Down CHP 7.01 - 200.00,573,-2.75,-0.5,False
noggin4:14,SS NH 8YO HDGRdiff 2.01 - 40.00,278,-2.42,-15.12,False
noggin2:89,SS WINDOP FTO and WINDOP1RUN 10.01-1000.00,738,-2.26,-10.19,False
noggin4:21,SS Bath HDGRdiff,307,-2.21,-19.6,False
noggin2:30,Gosden 1m - 1m6f,887,-2.19,-11.09,False
noggin4:96,C Placed NH v2 5.01 - 1000.00,7928,-0.96,-4.03,False
noggin4:97,0 RUNS HDGR NH COMP,10000,-0.84,-0.8,True
noggin:97,MM NH 10.01 - 80.00,4181,-0.83,4.86,False
noggin2:38,Gosden JHM Part 3,560,-0.82,1.39,False
noggin2:7,IRE HDGRdiff,2955,-0.51,6.35,False
noggin3:70,SEVENS,3124,-0.41,-2.04,False
noggin2:69,HDGRdiff 5YO-8YO 10.5-65.00,1685,-0.38,-3.38,False
noggin2:51,SS NH 1 RUN 8.01 - 50.00,502,-0.36,-7.46,False
noggin:5,2021 7YOs BASE 2021,501,-0.2,-13.68,False
noggin:98,MM IRISH FLAT 6.01 -200.00 HDGR max 40.00,1042,-0.07,23.01,False
