RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"20:40:00"	"2026-07-27"	"Ripon"	"What A Tahoo (IRE)"	"2.00"	"3.51"	"Handicap"	"4"	"6"	"Hardie, Cameron"	"Fahey, R A"	"3"	"13"
"20:20:00"	"2026-07-22"	"Leicester"	"Cotai Belle (IRE)"	"2.13"	"3.58"	"Handicap"	"2"	"5"	"Tindall, Ethan"	"Fahey, R A"	"3"	"13"
"16:24:00"	"2026-07-11"	"Chester"	"Kind Touch (IRE)"	"1.88"	"2.96"	"Handicap"	"4"	"6"	"Russell, Harry"	"Fahey, R A"	"3"	"28"
"17:30:00"	"2026-06-29"	"Pontefract"	"Far Ahead (IRE)"	"2.00"	"3.4"	"Handicap"	"2"	"9"	"Orr, Oisin"	"Fahey, R A"	"4"	"12"
"20:30:00"	"2026-06-17"	"Ripon"	"What A Tahoo (IRE)"	"2.25"	"4.23"	"Handicap"	"1"	"8"	"McHugh, B"	"Fahey, R A"	"3"	"19"
"17:20:00"	"2026-06-17"	"Hamilton"	"Tarmonbarry Kid (IRE)"	"2.25"	"3.95"	"Handicap"	"3"	"6"	"Orr, Oisin"	"Fahey, R A"	"3"	"32"
"14:15:00"	"2026-06-17"	"Hamilton"	"Far Ahead (IRE)"	"2.25"	"3.39"	"Handicap"	"2"	"6"	"Fentiman, Warren"	"Fahey, R A"	"4"	"18"
"17:45:00"	"2026-06-14"	"Doncaster"	"Cosmic Clarets (IRE)"	"2.75"	"4.2"	"Handicap"	"6"	"14"	"Garritty, Jack"	"Fahey, R A"	"3"	"42"
"16:12:00"	"2026-06-04"	"Wetherby"	"Ciao Capo (IRE)"	"1.10"	"2.27"	"Handicap"	"1"	"7"	"Orr, Oisin"	"Fahey, R A"	"3"	"23"
"15:18:00"	"2026-06-02"	"Pontefract"	"Raslan"	"1.50"	"2.92"	"Maiden"	"7"	"7"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"16:03:00"	"2026-05-21"	"Haydock"	"Charted Course"	"2.00"	"3.55"	"Novices"	"2"	"6"	"Gray, S A"	"Fahey, R A"	"2"	"No Prev"
"20:25:00"	"2026-05-09"	"Leicester"	"Up The Jazz (IRE)"	"3.50"	"5.33"	"Handicap"	"3"	"9"	"Nolan, D"	"Fahey, R A"	"5"	"14"
"19:45:00"	"2026-05-08"	"Ripon"	"Glistening Nights (FR)"	"3.33"	"4.92"	"Handicap"	"2"	"12"	"McHugh, B"	"Fahey, R A"	"5"	"22"
"16:10:00"	"2026-05-06"	"Chester"	"Arabian Desert"	"0.73"	"1.83"	"Maiden"	"5"	"5"	"Ryan, Rossa"	"Fahey, R A"	"3"	"29"
"17:20:00"	"2026-04-20"	"Redcar"	"Watchdog"	"2.00"	"3.25"	"Handicap"	"1"	"8"	"Orr, Oisin"	"Fahey, R A"	"3"	"23"
"15:00:00"	"2025-10-07"	"Leicester"	"Thehunnebelllegacy"	"3.50"	"5.8"	"Handicap Nursery"	"3"	"14"	"Fentiman, Warren"	"Fahey, R A"	"2"	"17"
"16:13:00"	"2025-09-03"	"Hamilton"	"Boston Dan (IRE)"	"0.10"	"1.11"	"Maiden"	"1"	"4"	"Orr, Oisin"	"Fahey, R A"	"2"	"13"
"17:30:00"	"2025-08-23"	"Redcar"	"Mystical Maria"	"2.00"	"3.35"	"Handicap"	"1"	"6"	"Orr, Oisin"	"Fahey, R A"	"4"	"12"
"18:35:00"	"2025-08-15"	"Thirsk"	"South Parade (IRE)"	"1.50"	"2.62"	"Handicap"	"1"	"6"	"Orr, Oisin"	"Fahey, R A"	"4"	"7"
"17:35:00"	"2025-08-02"	"Galway"	"Reidh (IRE)"	"2.00"	"3.9"	"Handicap"	"11"	"15"	"Orr, Oisin"	"Fahey, R A"	"5"	"17"
"15:00:00"	"2025-07-22"	"Musselburgh"	"Proud Nation (IRE)"	"0.91"	"2.06"	"Maiden"	"2"	"6"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"15:40:00"	"2025-07-08"	"Pontefract"	"Musical Touch (IRE)"	"3.00"	"4.51"	"Handicap"	"3"	"8"	"Fentiman, Warren"	"Fahey, R A"	"4"	"24"
"13:30:00"	"2025-07-05"	"Haydock"	"Mearall (IRE)"	"3.00"	"4.88"	"Handicap"	"7"	"8"	"Fentiman, Warren"	"Fahey, R A"	"3"	"15"
"14:12:00"	"2025-06-26"	"Nottingham"	"Rainwater"	"1.75"	"3.1"	"Handicap"	"3"	"5"	"Tindall, Ethan"	"Fahey, R A"	"4"	"15"
"16:00:00"	"2025-06-18"	"Hamilton"	"Havana Rum (IRE)"	"1.75"	"3.15"	"Handicap"	"2"	"7"	"McHugh, B"	"Fahey, R A"	"5"	"7"
"16:35:00"	"2025-06-15"	"Doncaster"	"Sharon Curly (IRE)"	"4.00"	"5.8"	"Handicap"	"1"	"12"	"McSweeney, O"	"Fahey, R A"	"3"	"16"
"15:50:00"	"2025-05-29"	"Ripon"	"Have Secret (IRE)"	"2.00"	"3.2"	"Handicap"	"2"	"11"	"Garritty, Billy"	"Fahey, R A"	"5"	"13"
"14:00:00"	"2025-05-28"	"Hamilton"	"Storm Force (IRE)"	"0.57"	"1.6"	"Maiden"	"3"	"6"	"Doyle, James"	"Fahey, R A"	"2"	"No Prev"
"16:25:00"	"2025-05-24"	"Beverley"	"Life On The Rocks (IRE)"	"1.88"	"2.98"	"Handicap"	"5"	"5"	"Gray, S A"	"Fahey, R A"	"7"	"14"
"19:15:00"	"2025-05-17"	"Doncaster"	"Rock Opera"	"3.00"	"4.6"	"Handicap"	"4"	"7"	"Garritty, Billy"	"Fahey, R A"	"5"	"17"
"17:30:00"	"2025-05-16"	"York"	"Musical Touch (IRE)"	"6.00"	"8.7"	"Handicap"	"5"	"22"	"Orr, Oisin"	"Fahey, R A"	"4"	"34"
"20:30:00"	"2025-05-10"	"Leicester"	"Life On The Rocks (IRE)"	"1.25"	"2.41"	"Handicap"	"1"	"9"	"Garritty, Jack"	"Fahey, R A"	"7"	"9"
"13:55:00"	"2025-05-04"	"Hamilton"	"Azure Zain (FR)"	"1.63"	"2.76"	"Novices"	"3"	"5"	"Garritty, Jack"	"Fahey, R A"	"3"	"No Prev"
"17:10:00"	"2025-05-01"	"Redcar"	"Springbok"	"3.33"	"4.71"	"Handicap"	"5"	"8"	"Orr, Oisin"	"Fahey, R A"	"3"	"18"
"15:00:00"	"2025-04-28"	"Ayr"	"Society Of Honor (IRE)"	"2.25"	"3.78"	"Maiden"	"3"	"5"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"16:15:00"	"2025-04-17"	"Ripon"	"Have Secret (IRE)"	"2.75"	"4.21"	"Handicap"	"1"	"9"	"Garritty, Billy"	"Fahey, R A"	"5"	"18"
"18:40:00"	"2025-04-12"	"Thirsk"	"Musical Touch (IRE)"	"2.75"	"4.24"	"Handicap"	"1"	"10"	"Orr, Oisin"	"Fahey, R A"	"4"	"170"
"16:45:00"	"2025-03-29"	"Doncaster"	"Life On The Rocks (IRE)"	"3.33"	"5"	"Handicap"	"2"	"19"	"Fentiman, Warren"	"Fahey, R A"	"7"	"4"
"14:05:00"	"2024-11-06"	"Musselburgh"	"Silent Move"	"1.88"	"3.16"	"Handicap"	"1"	"4"	"Orr, Oisin"	"Fahey, R A"	"3"	"165"
