RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"17:15:00"	"2026-05-15"	"York"	"Always Blue"	"50.00"	"118.63"	"Novices"	"5"	"7"	"Scott, Rowan"	"Bethell, Harriet"	"3"	"20"
"16:40:00"	"2026-05-15"	"York"	"Shes Got A Brother"	"14.00"	"20.42"	"Handicap"	"4"	"17"	"Garritty, Billy"	"Easterby, M W"	"3"	"17"
"16:40:00"	"2026-05-15"	"York"	"Eternal Solace"	"12.00"	"12.45"	"Handicap"	"17"	"17"	"Buick, William"	"Sangster, Ollie"	"3"	"17"
"17:15:00"	"2026-05-14"	"York"	"Stoneacre Donny"	"8.00"	"11.17"	"Handicap"	"2"	"14"	"Allan, David"	"Easterby, T D"	"3"	"19"
"17:15:00"	"2026-05-14"	"York"	"Tommos Ginjaninja"	"50.00"	"123.14"	"Handicap"	"13"	"14"	"Osborne, Saffie"	"Easterby, M W"	"3"	"20"
"16:05:00"	"2026-05-14"	"York"	"Al Zanati"	"10.00"	"14.03"	"Non-Handicap"	"6"	"8"	"Loughnane, Mr Billy"	"Appleby, Charlie"	"3"	"20"
"15:30:00"	"2026-05-14"	"York"	"See The Fire"	"0.83"	"1.93"	"Non-Handicap"	"1"	"4"	"Murphy, Oisin"	"Balding, A M"	"5"	"18"
"16:05:00"	"2026-05-13"	"York"	"Felicitas"	"2.50"	"3.65"	"Non-Handicap"	"2"	"5"	"Shoemark, Kieran"	"Walker, Ed"	"3"	"19"
"14:55:00"	"2026-05-13"	"York"	"Fahrenheit Seven"	"20.00"	"25.4"	"Handicap"	"22"	"22"	"Spencer, Jamie"	"Cowell, R M H"	"5"	"16"
"17:30:00"	"2025-05-16"	"York"	"Flying Fletcher"	"22.00"	"30.94"	"Handicap"	"13"	"22"	"Fentiman, Warren"	"Fahey, R A"	"4"	"20"
"16:15:00"	"2025-05-16"	"York"	"Sudden Flight"	"11.00"	"14.74"	"Handicap"	"11"	"22"	"Buick, William"	"Hughes, Richard"	"3"	"20"
"14:42:00"	"2025-05-16"	"York"	"Bint Al Daar"	"14.00"	"17.93"	"Handicap"	"11"	"13"	"Shoemark, Kieran"	"Foy, Kevin"	"5"	"17"
"17:25:00"	"2025-05-15"	"York"	"Rahiebb"	"5.50"	"7"	"Handicap"	"2"	"8"	"Sousa, Silvestre De"	"Varian, Roger"	"3"	"19"
"17:25:00"	"2025-05-15"	"York"	"Many Men"	"6.50"	"8.79"	"Handicap"	"3"	"8"	"Doughty, Jack"	"Boyle, J R"	"3"	"20"
"16:18:00"	"2025-05-15"	"York"	"Captain Kinsella"	"66.00"	"132.4"	"Non-Handicap"	"7"	"7"	"Doyle, Hollie"	"Gallagher, J"	"3"	"20"
"15:45:00"	"2025-05-15"	"York"	"Damysus"	"16.00"	"22.36"	"Non-Handicap"	"2"	"11"	"Shoemark, Kieran"	"Gosden, J H M"	"3"	"20"
"15:13:00"	"2025-05-15"	"York"	"See The Fire"	"0.73"	"1.76"	"Non-Handicap"	"1"	"8"	"Murphy, Oisin"	"Balding, A M"	"4"	"20"
"15:13:00"	"2025-05-15"	"York"	"Ambiente Amigo"	"16.00"	"24.51"	"Non-Handicap"	"4"	"8"	"Davies, Harry"	"Owen, J P"	"4"	"16"
"15:13:00"	"2025-05-15"	"York"	"Karmology"	"10.00"	"14.16"	"Non-Handicap"	"5"	"8"	"James, S H"	"Burke, K R"	"5"	"16"
"15:45:00"	"2025-05-14"	"York"	"Go Go Boots"	"9.00"	"12"	"Non-Handicap"	"3"	"6"	"Shoemark, Kieran"	"Gosden, J H M"	"3"	"16"
"15:45:00"	"2025-05-14"	"York"	"Tattycoram"	"18.00"	"19.95"	"Non-Handicap"	"4"	"6"	"Crouch, Hector"	"Beckett, R M"	"3"	"19"
"17:20:00"	"2024-05-17"	"York"	"Enchanting"	"14.00"	"17.6"	"Handicap"	"10"	"17"	"Doyle, Hollie"	"Balding, A M"	"3"	"20"
"16:45:00"	"2024-05-17"	"York"	"Hectic"	"16.00"	"19.33"	"Handicap"	"4"	"20"	"Doyle, Hollie"	"Fell, R / Murray, S"	"4"	"20"
"15:45:00"	"2024-05-15"	"York"	"Secret Satire"	"22.00"	"32.16"	"Non-Handicap"	"1"	"7"	"Murphy, Oisin"	"Balding, A M"	"3"	"19"
"15:45:00"	"2024-05-15"	"York"	"Francophone"	"16.00"	"18.9"	"Non-Handicap"	"2"	"7"	"Fanning, Joe"	"Johnston, Charlie"	"3"	"17"
"14:15:00"	"2024-05-15"	"York"	"Flash Bardot"	"10.00"	"14"	"Handicap"	"8"	"13"	"Probert, David"	"Channon, Jack"	"4"	"18"
"17:15:00"	"2023-05-19"	"York"	"Miss Brazen"	"25.00"	"30.67"	"Handicap"	"6"	"18"	"Mason, Joanna"	"Easterby, M W"	"3"	"18"
"14:25:00"	"2023-05-19"	"York"	"Stormy Sea"	"2.75"	"4.1"	"Non-Handicap"	"6"	"8"	"Moore, Ryan"	"Stoute, Sir Michael"	"3"	"20"
"17:20:00"	"2023-05-18"	"York"	"Knockbrex"	"5.00"	"7.6"	"Handicap"	"4"	"11"	"Atzeni, Andrea"	"Johnston, Charlie"	"3"	"19"
"17:15:00"	"2023-05-17"	"York"	"Real Terms"	"12.00"	"16.73"	"Handicap"	"5"	"18"	"Stammers, Oliver"	"Tuer, Grant"	"6"	"17"
"17:15:00"	"2023-05-17"	"York"	"Sea Grey"	"10.00"	"15"	"Handicap"	"11"	"18"	"Watson, Jason"	"OMeara, D"	"4"	"18"
"17:15:00"	"2023-05-17"	"York"	"Vallamorey"	"14.00"	"21.89"	"Handicap"	"15"	"18"	"Eaves, Tom"	"Fairhurst, C W"	"5"	"19"
"13:50:00"	"2023-05-17"	"York"	"Thundering"	"10.00"	"15.5"	"Handicap"	"15"	"15"	"Eaves, Tom"	"Ryan, K A"	"4"	"18"
"17:20:00"	"2022-05-13"	"York"	"Mattice"	"10.00"	"12.36"	"Handicap"	"11"	"15"	"Fentiman, Duran"	"Easterby, T D"	"3"	"18"
"16:45:00"	"2022-05-13"	"York"	"Fleetwood Pier"	"40.00"	"82.59"	"Handicap"	"11"	"18"	"Stammers, Oliver"	"Dods, M"	"4"	"16"
"16:10:00"	"2022-05-13"	"York"	"Achnamara"	"28.00"	"36"	"Handicap"	"5"	"8"	"Kingscote, Richard"	"Johnston, M"	"3"	"20"
"14:25:00"	"2022-05-13"	"York"	"Grande Dame"	"1.63"	"2.76"	"Non-Handicap"	"2"	"12"	"Dettori, L"	"Gosden, J H M"	"3"	"16"
"14:25:00"	"2022-05-13"	"York"	"Love Interest"	"28.00"	"44"	"Non-Handicap"	"3"	"12"	"Tudhope, Daniel"	"OMeara, D"	"3"	"20"
"17:20:00"	"2022-05-12"	"York"	"Ravenscraig Castle"	"3.00"	"4.3"	"Handicap"	"5"	"7"	"Mullen, Andrew"	"Jardine, I"	"4"	"19"
"16:10:00"	"2022-05-11"	"York"	"Matty Too"	"50.00"	"66.37"	"Handicap"	"7"	"11"	"Fentiman, Duran"	"Easterby, T D"	"3"	"20"
"15:35:00"	"2022-05-11"	"York"	"Emily Upjohn"	"0.57"	"1.61"	"Non-Handicap"	"1"	"5"	"Dettori, L"	"Gosden, J H M"	"3"	"19"
"13:50:00"	"2022-05-11"	"York"	"Noble Masquerade"	"18.00"	"24"	"Handicap"	"11"	"11"	"Buick, William"	"Houghton, Eve Johnson"	"5"	"16"
"16:50:00"	"2021-05-14"	"York"	"Fairmac"	"10.00"	"11.82"	"Handicap"	"6"	"10"	"McDonald, P J"	"Johnston, M"	"3"	"20"
"15:40:00"	"2021-05-14"	"York"	"Red Poppy"	"20.00"	"27.4"	"Handicap"	"6"	"18"	"Doyle, James"	"Fellowes, Charlie"	"4"	"20"
"15:40:00"	"2021-05-14"	"York"	"Trinity Lake"	"7.50"	"9.15"	"Handicap"	"12"	"18"	"Wheatley, Zak"	"Carroll, D"	"5"	"19"
"16:50:00"	"2021-05-13"	"York"	"General Zoff"	"12.00"	"14.5"	"Handicap"	"3"	"11"	"Sousa, Silvestre De"	"Muir, W R"	"6"	"16"
"14:40:00"	"2021-05-13"	"York"	"La Trinidad"	"20.00"	"21"	"Handicap"	"6"	"14"	"Egan, David"	"Fell, R / Murray, S"	"4"	"19"
"16:50:00"	"2021-05-12"	"York"	"Harmonious"	"80.00"	"139.22"	"Handicap"	"18"	"19"	"Fisher, Jonathan"	"Dixon, Scott"	"4"	"18"
"16:35:00"	"2019-05-17"	"York"	"Wedding Date"	"20.00"	"29.01"	"Handicap"	"1"	"14"	"Lee, Clifford"	"Hannon (Jnr), Richard"	"3"	"20"
"16:35:00"	"2019-05-17"	"York"	"Ustath"	"6.00"	"8.05"	"Handicap"	"14"	"14"	"ONeill, Dane"	"Burrows, Owen"	"3"	"20"
"14:25:00"	"2019-05-17"	"York"	"Modern Millie"	"25.00"	"35.93"	"Non-Handicap"	"5"	"11"	"Curtis, B A"	"Channon, M R"	"3"	"16"
"17:05:00"	"2019-05-16"	"York"	"Mancini"	"4.50"	"6.49"	"Handicap"	"2"	"15"	"Doyle, James"	"Portman, J G"	"5"	"18"
"15:00:00"	"2019-05-16"	"York"	"Surfman"	"5.00"	"6.37"	"Non-Handicap"	"3"	"8"	"Atzeni, Andrea"	"Varian, Roger"	"3"	"16"
"16:05:00"	"2019-05-15"	"York"	"Reeves"	"20.00"	"25.09"	"Handicap"	"2"	"19"	"Da Silva, Raul"	"Cowell, R M H"	"3"	"19"
"16:05:00"	"2019-05-15"	"York"	"The Night Watch"	"5.50"	"7.8"	"Handicap"	"14"	"19"	"Fallon, Cieren"	"Haggas, W J"	"3"	"17"
"15:35:00"	"2019-05-15"	"York"	"Fresnel"	"16.00"	"23.33"	"Non-Handicap"	"4"	"10"	"Halpin, G P"	"Davison, Jack W"	"3"	"17"
"13:50:00"	"2019-05-15"	"York"	"Crystal King"	"8.50"	"13.5"	"Handicap"	"11"	"18"	"Moore, Ryan"	"Stoute, Sir Michael"	"4"	"18"
"17:40:00"	"2018-05-18"	"York"	"Making Miracles"	"5.50"	"6.72"	"Handicap"	"2"	"16"	"Sousa, Silvestre De"	"Johnston, M"	"3"	"16"
"17:40:00"	"2018-05-18"	"York"	"Sexy Beast"	"14.00"	"17.06"	"Handicap"	"9"	"16"	"Mulrennan, Paul"	"De Giles, Ed"	"3"	"19"
"17:40:00"	"2018-05-18"	"York"	"Oskemen"	"20.00"	"40"	"Handicap"	"12"	"16"	"Tudhope, Daniel"	"OMeara, D"	"3"	"20"
"17:40:00"	"2018-05-18"	"York"	"Dontgiveuponbob"	"25.00"	"74"	"Handicap"	"15"	"16"	"Hamilton, Tony"	"Fahey, R A"	"3"	"18"
"17:05:00"	"2018-05-18"	"York"	"Roundhay Park"	"5.00"	"6.6"	"Handicap"	"4"	"15"	"Edmunds, Lewis"	"Tinkler, N"	"3"	"20"
"17:35:00"	"2018-05-17"	"York"	"Denmead"	"14.00"	"16.21"	"Handicap"	"2"	"13"	"Hanagan, Paul"	"Butler, John"	"5"	"17"
"15:30:00"	"2018-05-17"	"York"	"Merlin Magic"	"16.00"	"25.08"	"Non-Handicap"	"4"	"9"	"Sousa, Silvestre De"	"Elsworth, D R C"	"3"	"20"
"16:35:00"	"2018-05-16"	"York"	"Cavatina"	"12.00"	"15.47"	"Handicap"	"4"	"15"	"Bentley, Harry"	"Haggas, W J"	"3"	"20"
"16:05:00"	"2018-05-16"	"York"	"Give And Take"	"3.50"	"4.59"	"Non-Handicap"	"1"	"7"	"Doyle, James"	"Haggas, W J"	"3"	"19"
"16:05:00"	"2018-05-16"	"York"	"Highgarden"	"2.50"	"3.84"	"Non-Handicap"	"4"	"7"	"Dettori, L"	"Gosden, J H M"	"3"	"19"
"14:20:00"	"2018-05-16"	"York"	"Hamada"	"2.50"	"3.65"	"Handicap"	"1"	"7"	"Buick, William"	"Appleby, Charlie"	"4"	"18"
"17:40:00"	"2017-05-19"	"York"	"Brimham Rocks"	"3.33"	"4.97"	"Handicap"	"6"	"11"	"Berry, F M"	"Beckett, R M"	"3"	"17"
"17:40:00"	"2017-05-19"	"York"	"Lord Commander"	"16.00"	"22"	"Handicap"	"11"	"11"	"McNamara, Adam"	"Fahey, R A"	"3"	"17"
"17:05:00"	"2017-05-19"	"York"	"Twizzell"	"12.00"	"14.85"	"Handicap"	"4"	"12"	"Kingscote, Richard"	"Burke, K R"	"3"	"18"
"16:35:00"	"2017-05-19"	"York"	"Hells Babe"	"4.00"	"5.02"	"Handicap"	"1"	"9"	"Rawlinson, Ali"	"Appleby, M"	"4"	"20"
"16:35:00"	"2017-05-19"	"York"	"Florenza"	"5.00"	"6.33"	"Handicap"	"2"	"9"	"Crowley, Jim"	"Fairhurst, C W"	"4"	"20"
"17:35:00"	"2017-05-18"	"York"	"On Fire"	"9.00"	"18"	"Handicap"	"5"	"13"	"Hanagan, Paul"	"Bethell, J D"	"4"	"16"
"16:35:00"	"2017-05-18"	"York"	"Jumira Bridge"	"5.00"	"6.7"	"Non-Handicap"	"3"	"5"	"Atzeni, Andrea"	"Varian, Roger"	"3"	"20"
"17:35:00"	"2017-05-17"	"York"	"Marmajuke Bay"	"9.00"	"14"	"Handicap"	"12"	"16"	"Drowne, Steve"	"Usher, M D I"	"4"	"18"
"16:35:00"	"2017-05-17"	"York"	"Muscika"	"14.00"	"17.59"	"Handicap"	"8"	"14"	"Bentley, Harry"	"OMeara, D"	"3"	"17"
"16:05:00"	"2017-05-17"	"York"	"Serenada"	"7.50"	"9.8"	"Non-Handicap"	"3"	"5"	"Atzeni, Andrea"	"Varian, Roger"	"3"	"19"
"15:30:00"	"2017-05-17"	"York"	"Tasleet"	"14.00"	"18.42"	"Non-Handicap"	"1"	"12"	"Crowley, Jim"	"Haggas, W J"	"4"	"18"
"14:20:00"	"2017-05-17"	"York"	"Mythical Madness"	"50.00"	"84.23"	"Handicap"	"18"	"20"	"Tudhope, Daniel"	"OMeara, D"	"6"	"18"
"17:10:00"	"2016-05-13"	"York"	"Dusky Dawn"	"12.00"	"18.17"	"Handicap"	"9"	"11"	"Curtis, B A"	"Swinbank, G A"	"4"	"18"
"14:20:00"	"2016-05-13"	"York"	"Curtain Call"	"8.00"	"12.11"	"Handicap"	"6"	"13"	"Hamilton, Tony"	"Fahey, R A"	"3"	"17"
"17:20:00"	"2016-05-12"	"York"	"Saigon City"	"33.00"	"73.21"	"Handicap"	"1"	"15"	"Eaves, Tom"	"Carroll, D"	"6"	"19"
"17:20:00"	"2016-05-12"	"York"	"Sisyphus"	"8.00"	"11.5"	"Handicap"	"12"	"15"	"Mullen, Andrew"	"Pears, Ollie"	"4"	"18"
"16:15:00"	"2016-05-12"	"York"	"Lady Macapa"	"5.50"	"6.67"	"Non-Handicap"	"8"	"9"	"Crowley, Jim"	"Knight, W J"	"3"	"20"
"15:45:00"	"2016-05-12"	"York"	"Convey"	"10.00"	"13.68"	"Handicap"	"2"	"19"	"Moore, Ryan"	"Stoute, Sir Michael"	"4"	"19"
"15:15:00"	"2016-05-12"	"York"	"Wings of Desire"	"9.00"	"13.18"	"Non-Handicap"	"1"	"12"	"Dettori, L"	"Gosden, J H M"	"3"	"19"
"15:15:00"	"2016-05-12"	"York"	"Midterm"	"1.25"	"2.25"	"Non-Handicap"	"5"	"12"	"Smullen, P J"	"Stoute, Sir Michael"	"3"	"20"
"15:15:00"	"2016-05-12"	"York"	"Victory Bond"	"12.00"	"15.79"	"Non-Handicap"	"6"	"12"	"Cosgrave, Pat"	"Haggas, W J"	"3"	"19"
"15:15:00"	"2016-05-12"	"York"	"Harrison"	"16.00"	"26"	"Non-Handicap"	"8"	"12"	"Sousa, Silvestre De"	"Channon, M R"	"3"	"20"
"17:20:00"	"2016-05-11"	"York"	"Yorkidding"	"12.00"	"17.85"	"Handicap"	"6"	"20"	"Sousa, Silvestre De"	"Johnston, M"	"4"	"18"
"17:20:00"	"2016-05-11"	"York"	"Busy Street"	"11.00"	"14"	"Handicap"	"7"	"20"	"Curtis, B A"	"Swinbank, G A"	"4"	"20"
"16:20:00"	"2016-05-11"	"York"	"Desert Ruler"	"33.00"	"76.4"	"Handicap"	"13"	"20"	"Lee, G"	"OKeeffe, Jedd"	"3"	"20"
"14:10:00"	"2016-05-11"	"York"	"Off Art"	"12.00"	"17.05"	"Handicap"	"7"	"13"	"Allan, David"	"Easterby, T D"	"6"	"18"
"17:20:00"	"2015-05-15"	"York"	"Chilworth Bells"	"11.00"	"18.18"	"Handicap"	"4"	"10"	"Gibbons, Graham"	"Barron, T D"	"3"	"18"
"17:20:00"	"2015-05-15"	"York"	"Wolf Albarari"	"25.00"	"40"	"Handicap"	"10"	"10"	"Doyle, James"	"Botti, M"	"3"	"20"
"14:40:00"	"2015-05-15"	"York"	"Ajman Bridge"	"4.00"	"5.53"	"Handicap"	"3"	"13"	"Buick, William"	"Cumani, L M"	"5"	"20"
"16:20:00"	"2015-05-14"	"York"	"Zeb Un Nisa"	"14.00"	"20.32"	"Non-Handicap"	"4"	"10"	"Atzeni, Andrea"	"Charlton, Roger/Harry"	"3"	"20"
"15:15:00"	"2015-05-14"	"York"	"Jack Hobbs"	"2.00"	"3.44"	"Non-Handicap"	"2"	"7"	"Dettori, L"	"Gosden, J H M"	"3"	"20"
"14:10:00"	"2015-05-14"	"York"	"See The Sun"	"5.50"	"7.37"	"Handicap"	"7"	"15"	"Allan, David"	"Easterby, T D"	"4"	"19"
"16:20:00"	"2015-05-13"	"York"	"Darrington"	"11.00"	"12.64"	"Handicap"	"10"	"17"	"Bell, Samantha"	"Fahey, R A"	"3"	"18"
"14:40:00"	"2015-05-13"	"York"	"Algar Lad"	"14.00"	"19.5"	"Handicap"	"1"	"17"	"James, S H"	"OMeara, D"	"5"	"18"
"17:00:00"	"2014-05-16"	"York"	"Penhill"	"16.00"	"24"	"Handicap"	"2"	"15"	"Durcan, Ted"	"Bethell, J D"	"3"	"17"
"17:00:00"	"2014-05-16"	"York"	"Rite To Reign"	"8.00"	"10.5"	"Handicap"	"4"	"15"	"Doyle, James"	"McBride, P J"	"3"	"20"
"16:25:00"	"2014-05-16"	"York"	"Coincidently"	"20.00"	"31.21"	"Handicap"	"8"	"11"	"Clark, Tim"	"Bailey, A"	"4"	"19"
"15:50:00"	"2014-05-16"	"York"	"Signore Piccolo"	"12.00"	"15.44"	"Handicap"	"12"	"19"	"Hart, Jason"	"Alston, E J"	"3"	"20"
"15:15:00"	"2014-05-16"	"York"	"Lustrous"	"20.00"	"36"	"Non-Handicap"	"1"	"14"	"Atzeni, Andrea"	"Hannon (Jnr), Richard"	"3"	"16"
"15:15:00"	"2014-05-16"	"York"	"Belle De Lawers"	"10.00"	"10.83"	"Non-Handicap"	"5"	"14"	"Fanning, Joe"	"Bethell, J D"	"3"	"20"
"15:15:00"	"2014-05-16"	"York"	"Adhwaa"	"9.00"	"12.47"	"Non-Handicap"	"10"	"14"	"ONeill, Dane"	"Hills, J W"	"3"	"16"
"15:15:00"	"2014-05-16"	"York"	"Gracie Hart"	"100.00"	"637.8"	"Non-Handicap"	"14"	"14"	"Prince,Mr P "	"Hughes, Jo"	"3"	"19"
"14:15:00"	"2014-05-16"	"York"	"Media Hype"	"25.00"	"36"	"Handicap"	"7"	"11"	"Crowley, Jim"	"Burke, K R"	"7"	"20"
"17:00:00"	"2014-05-15"	"York"	"Entihaa"	"10.00"	"14.56"	"Handicap"	"3"	"17"	"Allan, David"	"Swinbank, G A"	"6"	"16"
"17:00:00"	"2014-05-15"	"York"	"Mr Snoozy"	"7.00"	"7.8"	"Handicap"	"4"	"17"	"Hart, Jason"	"Walford, Mark"	"5"	"20"
"17:00:00"	"2014-05-15"	"York"	"Bobs World"	"12.00"	"21.4"	"Handicap"	"7"	"17"	"Eaves, Tom"	"Candlish, Jennie"	"5"	"20"
"17:00:00"	"2014-05-15"	"York"	"Moidore"	"7.00"	"9.73"	"Handicap"	"9"	"17"	"Makin, Phillip"	"Quinn, J J"	"5"	"19"
"15:50:00"	"2014-05-14"	"York"	"New Bidder"	"25.00"	"45.15"	"Handicap"	"13"	"18"	"Eaves, Tom"	"OKeeffe, Jedd"	"3"	"19"
"14:45:00"	"2014-05-14"	"York"	"Nancy From Nairobi"	"25.00"	"36.86"	"Non-Handicap"	"4"	"9"	"Twiston-Davies, Mr W"	"Channon, M R"	"3"	"19"
"13:45:00"	"2014-05-14"	"York"	"Clever Cookie"	"7.00"	"9"	"Handicap"	"1"	"18"	"Lee, G"	"Niven, P D"	"6"	"19"
"13:45:00"	"2014-05-14"	"York"	"Storm King"	"16.00"	"24"	"Handicap"	"17"	"18"	"Murphy, Oisin"	"Griffiths, D C"	"5"	"18"
"17:00:00"	"2013-05-17"	"York"	"Esteaming"	"7.00"	"9.8"	"Handicap"	"1"	"13"	"Makin, Phillip"	"Barron, T D"	"3"	"16"
"17:00:00"	"2013-05-17"	"York"	"Pivotal Silence"	"25.00"	"53.31"	"Handicap"	"7"	"13"	"Callan, N"	"Perrett, Mrs A J"	"3"	"18"
"17:00:00"	"2013-05-16"	"York"	"Moidore"	"14.00"	"15.04"	"Handicap"	"2"	"15"	"Smullen, P J"	"Quinn, J J"	"4"	"19"
"14:45:00"	"2013-05-16"	"York"	"Libertarian"	"33.00"	"44.81"	"Non-Handicap"	"1"	"8"	"Buick, William"	"Burke, Mrs K"	"3"	"20"
"14:45:00"	"2013-05-16"	"York"	"Dashing Star"	"80.00"	"497.8"	"Non-Handicap"	"8"	"8"	"Keniry, L P"	"Elsworth, D R C"	"3"	"19"
"15:50:00"	"2013-05-15"	"York"	"Cousin Khee"	"14.00"	"16"	"Handicap"	"1"	"18"	"Moore, Ryan"	"Morrison, H"	"6"	"16"
"15:50:00"	"2013-05-15"	"York"	"Opera Box"	"8.00"	"11"	"Handicap"	"15"	"18"	"Baker, George"	"Tregoning, M P"	"5"	"18"
"16:45:00"	"2012-05-18"	"York"	"Spanish Wedding"	"4.00"	"5.6"	"Handicap"	"4"	"11"	"Kirby, Adam"	"Botti, M"	"3"	"18"
"16:45:00"	"2012-05-18"	"York"	"Only Orsenfoolsies"	"16.00"	"27.52"	"Handicap"	"7"	"11"	"Farley, Neil"	"Hammond, Micky"	"3"	"16"
"16:45:00"	"2012-05-18"	"York"	"Blades Lad"	"7.00"	"9"	"Handicap"	"9"	"11"	"Hamilton, Tony"	"Fahey, R A"	"3"	"20"
"16:10:00"	"2012-05-18"	"York"	"Media Hype"	"6.00"	"8.8"	"Handicap"	"1"	"16"	"Makin, Phillip"	"Burke, Mrs K"	"5"	"20"
"16:10:00"	"2012-05-18"	"York"	"Troopingthecolour"	"7.00"	"9"	"Handicap"	"2"	"16"	"Sousa, Silvestre De"	"Gollings, S"	"6"	"20"
"16:10:00"	"2012-05-18"	"York"	"The Mellor Fella"	"28.00"	"83.76"	"Handicap"	"16"	"16"	"Hamilton, Tony"	"Fahey, R A"	"4"	"20"
"15:35:00"	"2012-05-18"	"York"	"Master Bond"	"7.00"	"6.54"	"Handicap"	"18"	"18"	"Newman, Mr J"	"Smart, B"	"3"	"20"
"14:30:00"	"2012-05-18"	"York"	"Red Cadeaux"	"4.00"	"5.17"	"Non-Handicap"	"1"	"8"	"McLaughlin, T G"	"Dunlop, E A L"	"6"	"16"
