RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"17:20:00"	"2026-03-13"	"Cheltenham"	"Hot Fuss (IRE)"	"25.00"	"29.93"	"Handicap Hurdle"	"2"	"24"	"Anderson, Joe"	"Dascombe, Tom"	"2m4.5f "	"2"	"13"	"PU"	"17"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Jump Allen (FR)"	"8.00"	"13.5"	"Handicap Hurdle"	"3"	"24"	"McGuinness, Miss A"	"Mullins, W P"	"2m4.5f "	"2"	"26"	"1"	"15"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Kel Histoire (FR)"	"4.50"	"6.6"	"Handicap Hurdle"	"4"	"24"	"Kenneally, Michael"	"Mullins, W P"	"2m4.5f "	"2"	"27"	"5"	"7"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Act Of Authority (FR)"	"14.00"	"19.36"	"Handicap Hurdle"	"5"	"24"	"Saunders, Lewis"	"Murphy, Olly"	"2m4.5f "	"2"	"27"	"8"	"15"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Da Capo Glory (IRE)"	"80.00"	"144.73"	"Handicap Hurdle"	"8"	"24"	"Quirke, Mr C M"	"Butler, Padraig"	"2m4.5f "	"2"	"27"	"3"	"8"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Fiercely Proud (IRE)"	"16.00"	"22"	"Handicap Hurdle"	"12"	"24"	"Pritchard, Mr Callum"	"Pauling, Ben"	"2m4.5f "	"2"	"27"	"1"	"15"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Sa Fureur (IRE)"	"50.00"	"74.94"	"Handicap Hurdle"	"13"	"24"	"Staples, Mr E"	"Elliott, Gordon"	"2m4.5f "	"2"	"27"	"2"	"4"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Open Secret"	"16.00"	"20.36"	"Handicap Hurdle"	"14"	"24"	"Smith, Mr James"	"Elliott, Gordon"	"2m4.5f "	"2"	"22"	"2"	"4"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Stede Bonnet (IRE)"	"20.00"	"27.05"	"Handicap Hurdle"	"15"	"24"	"Williamson, Mr J H"	"Elliott, Gordon"	"2m4.5f "	"2"	"26"	"3"	"4"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Nurse Susan (FR)"	"14.00"	"26.9"	"Handicap Hurdle"	"16"	"24"	"Durrell, Mr T"	"Skelton, Daniel"	"2m4.5f "	"2"	"19"	"4"	"5"
"17:20:00"	"2026-03-13"	"Cheltenham"	"Charlus (IRE)"	"100.00"	"334.93"	"Handicap Hurdle"	"22"	"24"	"Atkins, Mr Harry"	"Skelton, Daniel"	"2m4.5f "	"2"	"20"	"PU"	"9"
"14:00:00"	"2026-03-13"	"Cheltenham"	"Tripoli Flyer (IRE)"	"33.00"	"50.53"	"Handicap Hurdle"	"8"	"23"	"Obrien, Miss Fern"	"OBrien, Fergal"	"2m1f "	"1"	"21"	"7"	"13"
"14:00:00"	"2026-03-13"	"Cheltenham"	"Helvic Dream (IRE)"	"33.00"	"41.33"	"Handicap Hurdle"	"11"	"23"	"Meyler, D"	"Meade, Noel"	"2m1f "	"1"	"152"	"11"	"20"
"14:00:00"	"2026-03-13"	"Cheltenham"	"Secret Squirrel"	"11.00"	"15.68"	"Handicap Hurdle"	"19"	"23"	"Burke, Jonathan"	"Morrison, H"	"2m1f "	"1"	"27"	"3"	"4"
"17:20:00"	"2026-03-12"	"Cheltenham"	"Monbeg Genius (IRE)"	"18.00"	"21.24"	"Handicap Chase"	"3"	"23"	"Scallan, Mr J L"	"ONeill, Jonjo and AJ"	"3m2.5f "	"2"	"26"	"7"	"11"
"17:20:00"	"2026-03-12"	"Cheltenham"	"Cave Court (IRE)"	"100.00"	"176.45"	"Handicap Chase"	"14"	"23"	"McGill, Mr O"	"Kelly, Noel C"	"3m2.5f "	"2"	"26"	"8"	"13"
"17:20:00"	"2026-03-12"	"Cheltenham"	"Gericault Roque (FR)"	"11.00"	"11.66"	"Handicap Chase"	"17"	"23"	"Lawless, Mr B"	"Pipe, D E"	"3m2.5f "	"2"	"26"	"2"	"11"
"17:20:00"	"2026-03-12"	"Cheltenham"	"Hung Jury (IRE)"	"50.00"	"72.66"	"Handicap Chase"	"PU"	"23"	"King, Mr James"	"Keighley, M"	"3m2.5f "	"2"	"26"	"16"	"18"
"17:20:00"	"2026-03-12"	"Cheltenham"	"No Time To Wait (IRE)"	"33.00"	"60.47"	"Handicap Chase"	"PU"	"23"	"Halford, Mr J M"	"McConnell, John C"	"3m2.5f "	"2"	"19"	"4"	"8"
"17:20:00"	"2026-03-12"	"Cheltenham"	"Glengouly (FR)"	"80.00"	"116.5"	"Handicap Chase"	"PU"	"23"	"McGill, Mr D"	"Bramley, Faye"	"3m2.5f "	"2"	"12"	"PU"	"11"
"17:20:00"	"2026-03-12"	"Cheltenham"	"Prends Garde A Toi (FR)"	"14.00"	"23"	"Handicap Chase"	"PU"	"23"	"ONeill, Mr B"	"Elliott, Gordon"	"3m2.5f "	"2"	"25"	"4"	"14"
"16:40:00"	"2026-03-12"	"Cheltenham"	"Lavida Adiva (IRE)"	"22.00"	"32"	"Handicap Hurdle"	"2"	"24"	"Hughes, Brian"	"Jefferson, Ruth"	"3m "	"1"	"26"	"3"	"5"
"16:40:00"	"2026-03-12"	"Cheltenham"	"Minella Sixo (IRE)"	"25.00"	"36.18"	"Handicap Hurdle"	"11"	"24"	"Gilligan, D J"	"Elliott, Gordon"	"3m "	"1"	"18"	"2"	"9"
"16:40:00"	"2026-03-12"	"Cheltenham"	"Yeah Man (IRE)"	"20.00"	"21.83"	"Handicap Hurdle"	"16"	"24"	"Stone-Walsh, C"	"Cromwell, Gavin Patrick"	"3m "	"1"	"26"	"6"	"7"
"16:40:00"	"2026-03-12"	"Cheltenham"	"Red Dirt Road (IRE)"	"18.00"	"21.44"	"Handicap Hurdle"	"19"	"24"	"ONeill, Jonjo (Jr)"	"ONeill, Jonjo and AJ"	"3m "	"1"	"26"	"4"	"13"
"16:40:00"	"2026-03-12"	"Cheltenham"	"Melbourne Shamrock (IRE)"	"25.00"	"36.37"	"Handicap Hurdle"	"20"	"24"	"Meyler, D"	"Mullins, Emmet"	"3m "	"1"	"18"	"1"	"9"
"14:00:00"	"2026-03-12"	"Cheltenham"	"King Alexander (IRE)"	"20.00"	"29.22"	"Handicap Novices Chase"	"4"	"18"	"Mullins, D E"	"Mullins, W P"	"2m5f "	"1"	"26"	"1"	"8"
"14:00:00"	"2026-03-12"	"Cheltenham"	"The Bluesman (FR)"	"12.00"	"19.25"	"Handicap Novices Chase"	"7"	"18"	"Bowen, Sean P"	"Murphy, Olly"	"2m5f "	"1"	"26"	"1"	"11"
"14:00:00"	"2026-03-12"	"Cheltenham"	"Western Knight (IRE)"	"20.00"	"29"	"Handicap Novices Chase"	"13"	"18"	"Powell, Brendan"	"Tizzard, Joe"	"2m5f "	"1"	"26"	"2"	"3"
"16:40:00"	"2026-03-11"	"Cheltenham"	"Touch Me Not (IRE)"	"33.00"	"38.65"	"Handicap Chase"	"14"	"20"	"Smith, Mr James"	"Elliott, Gordon"	"2m "	"1"	"17"	"2"	"5"
"16:40:00"	"2026-03-11"	"Cheltenham"	"Rubaud (FR)"	"10.00"	"17.26"	"Handicap Chase"	"PU"	"20"	"Cobden, Harry"	"Nicholls, P F"	"2m "	"1"	"25"	"2"	"4"
"16:40:00"	"2026-03-11"	"Cheltenham"	"Personal Ambition (IRE)"	"20.00"	"25.14"	"Handicap Chase"	"PU"	"20"	"Woods, K K"	"Pauling, Ben"	"2m "	"1"	"22"	"1"	"3"
"14:40:00"	"2026-03-11"	"Cheltenham"	"Beckett Rock (IRE)"	"33.00"	"43.04"	"Handicap Hurdle"	"5"	"24"	"OConnor, M P"	"Bromhead, Henry De"	"2m5f "	"1"	"25"	"2"	"9"
"14:40:00"	"2026-03-11"	"Cheltenham"	"Kateira"	"7.50"	"9.4"	"Handicap Hurdle"	"6"	"24"	"Skelton, Harry"	"Skelton, Daniel"	"2m5f "	"1"	"25"	"9"	"15"
"14:40:00"	"2026-03-11"	"Cheltenham"	"Chart Topper (FR)"	"33.00"	"75"	"Handicap Hurdle"	"17"	"24"	"Hayes, Brian"	"Mullins, W P"	"2m5f "	"1"	"25"	"F"	"13"
"14:40:00"	"2026-03-11"	"Cheltenham"	"Farren Glory (IRE)"	"28.00"	"46"	"Handicap Hurdle"	"PU"	"24"	"Kennedy, J W"	"Elliott, Gordon"	"2m5f "	"1"	"25"	"3"	"7"
"17:20:00"	"2026-03-10"	"Cheltenham"	"Grand Geste (IRE)"	"14.00"	"17.75"	"Handicap Novices Chase"	"PU"	"17"	"McMenamin, Daniel"	"Smith, Mrs S J"	"3m6f "	"2"	"24"	"1"	"11"
"16:40:00"	"2026-03-10"	"Cheltenham"	"Western Zephyr (IRE)"	"50.00"	"72.61"	"Handicap Chase"	"8"	"23"	"Fenelon, S"	"Bowen, Mickey"	"2m4f "	"1"	"24"	"2"	"11"
"16:40:00"	"2026-03-10"	"Cheltenham"	"Boombawn (IRE)"	"80.00"	"200"	"Handicap Chase"	"9"	"23"	"Durrell, Mr T"	"Skelton, Daniel"	"2m4f "	"1"	"17"	"12"	"13"
"16:40:00"	"2026-03-10"	"Cheltenham"	"Riskintheground (IRE)"	"80.00"	"170.84"	"Handicap Chase"	"11"	"23"	"Todd, C J"	"Skelton, Daniel"	"2m4f "	"1"	"17"	"9"	"9"
"16:40:00"	"2026-03-10"	"Cheltenham"	"Peaky Boy (IRE)"	"25.00"	"40"	"Handicap Chase"	"12"	"23"	"ONeill, Jonjo (Jr)"	"ONeill, Jonjo and AJ"	"2m4f "	"1"	"17"	"F"	"7"
"15:20:00"	"2026-03-10"	"Cheltenham"	"Blow Your Wad (IRE)"	"14.00"	"23.2"	"Handicap Chase"	"4"	"22"	"Mitchell, Mr F"	"Moore, Gary and Josh"	"3m1f "	"1"	"10"	"2"	"11"
"15:20:00"	"2026-03-10"	"Cheltenham"	"The Doyen Chief (IRE)"	"33.00"	"94.16"	"Handicap Chase"	"9"	"22"	"Bellamy, Tom"	"King, A"	"3m1f "	"1"	"17"	"2"	"13"
"15:20:00"	"2026-03-10"	"Cheltenham"	"Patter Merchant (IRE)"	"20.00"	"38.96"	"Handicap Chase"	"PU"	"22"	"Kennedy, J W"	"Elliott, Gordon"	"3m1f "	"1"	"23"	"11"	"14"
"14:40:00"	"2026-03-10"	"Cheltenham"	"Pourquoi Pas Papa (FR)"	"16.00"	"21.56"	"Handicap Hurdle"	"4"	"22"	"Cobden, Harry"	"Nicholls, P F"	"2m.5f "	"1"	"24"	"2"	"7"
"14:40:00"	"2026-03-10"	"Cheltenham"	"Manlaga (IRE)"	"6.50"	"12"	"Handicap Hurdle"	"7"	"22"	"Boinville, Nico"	"Henderson, N J"	"2m.5f "	"1"	"24"	"1"	"7"
"14:40:00"	"2026-03-10"	"Cheltenham"	"Mustang Du Breuil (FR)"	"3.50"	"4.53"	"Handicap Hurdle"	"8"	"22"	"Bowen, James C"	"Henderson, N J"	"2m.5f "	"1"	"17"	"3"	"12"
"14:40:00"	"2026-03-10"	"Cheltenham"	"Bibe Mus (FR)"	"20.00"	"63.42"	"Handicap Hurdle"	"11"	"22"	"Twiston-Davies, Sam"	"Nicholls, P F"	"2m.5f "	"1"	"3"	"1"	"6"
"14:40:00"	"2026-03-10"	"Cheltenham"	"Madness Delle (FR)"	"18.00"	"25"	"Handicap Hurdle"	"14"	"22"	"Mullins, D E"	"Mullins, W P"	"2m.5f "	"1"	"24"	"1"	"10"
"14:40:00"	"2026-03-10"	"Cheltenham"	"Macktoad (FR)"	"80.00"	"200.04"	"Handicap Hurdle"	"16"	"22"	"Quinn, Caoilin"	"Moore, Gary and Josh"	"2m.5f "	"1"	"24"	"5"	"7"
"17:20:00"	"2025-03-14"	"Cheltenham"	"Taponthego (IRE)"	"8.00"	"11.62"	"Handicap Hurdle"	"4"	"24"	"OConnor, M P"	"Bromhead, Henry De"	"2m4.5f "	"2"	"22"	"3"	"5"
