RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	
"17:35:00"	"2023-10-07"	"Redcar"	"Rose King (IRE)"	"25.00"	"45.77"	"Handicap"	"4"	"13"	"Sullivan, James P"	"Dixon, Scott"
"17:35:00"	"2023-10-07"	"Redcar"	"One Night Stand"	"10.00"	"12.5"	"Handicap"	"10"	"13"	"Peate, Jonny"	"Dixon, Scott"
"16:01:00"	"2023-04-10"	"Redcar"	"Perseverants (FR)"	"10.00"	"16"	"Handicap"	"12"	"14"	"Swift, Mr Dale"	"Dixon, Scott"
"16:05:00"	"2022-11-01"	"Redcar"	"Valorant"	"66.00"	"160"	"Handicap"	"16"	"18"	"Whittington, Elisha"	"Dixon, Scott"
"17:25:00"	"2022-10-24"	"Redcar"	"Dark Shot"	"18.00"	"22"	"Handicap"	"7"	"9"	"Whittington, Elisha"	"Dixon, Scott"
"15:40:00"	"2022-10-24"	"Redcar"	"Perseverants (FR)"	"125.00"	"259.1"	"Handicap"	"10"	"11"	"Swift, Mr Dale"	"Dixon, Scott"
"16:55:00"	"2022-05-16"	"Redcar"	"Thermometer (IRE)"	"20.00"	"34.96"	"Handicap"	"4"	"12"	"Swift, Mr Dale"	"Dixon, Scott"
"16:25:00"	"2021-10-25"	"Redcar"	"Driftwood"	"33.00"	"39.18"	"Handicap"	"10"	"10"	"Fisher, Jonathan"	"Dixon, Scott"
"17:50:00"	"2021-10-02"	"Redcar"	"Dark Shot"	"25.00"	"26.01"	"Handicap"	"6"	"14"	"Quinn, Jimmy"	"Dixon, Scott"
"16:05:00"	"2021-06-01"	"Redcar"	"Pertemps Sia (IRE)"	"16.00"	"22"	"Maiden"	"1"	"9"	"Fisher, Jonathan"	"Dixon, Scott"
"13:45:00"	"2021-06-01"	"Redcar"	"Driftwood"	"25.00"	"44.68"	"Handicap"	"15"	"16"	"James, S H"	"Dixon, Scott"
"16:15:00"	"2021-05-17"	"Redcar"	"Dark Shot"	"8.00"	"10.29"	"Handicap"	"2"	"8"	"McDonald, P J"	"Dixon, Scott"
"14:15:00"	"2021-04-05"	"Redcar"	"Waltzing (IRE)"	"80.00"	"120.01"	"Handicap"	"12"	"14"	"Fisher, Jonathan"	"Dixon, Scott"
"16:00:00"	"2020-10-03"	"Redcar"	"Sociologist (FR)"	"12.00"	"15.93"	"Handicap"	"6"	"11"	"McHugh, B"	"Dixon, Scott"
"16:20:00"	"2020-09-23"	"Redcar"	"Alex Gracie"	"14.00"	"19.47"	"Handicap"	"17"	"17"	"Dawson, R"	"Dixon, Scott"
"15:25:00"	"2019-09-25"	"Redcar"	"Optimickstickhill"	"33.00"	"70.64"	"Handicap"	"11"	"13"	"Pindar, Rhonda"	"Dixon, Scott"
"16:10:00"	"2019-05-27"	"Redcar"	"Sands Chorus"	"25.00"	"32.28"	"Handicap"	"13"	"14"	"Malune, Gabriele"	"Dixon, Scott"
"16:00:00"	"2018-10-29"	"Redcar"	"Optimickstickhill"	"14.00"	"17.55"	"Handicap"	"5"	"13"	"Ladd, Theodore"	"Dixon, Scott"
"12:35:00"	"2018-10-29"	"Redcar"	"Champagne Mondays"	"12.00"	"17.03"	"Handicap Nursery"	"10"	"13"	"Ladd, Theodore"	"Dixon, Scott"
"17:00:00"	"2018-09-26"	"Redcar"	"Penny Dreadful"	"20.00"	"41.8"	"Handicap"	"9"	"16"	"Ladd, Theodore"	"Dixon, Scott"
"14:20:00"	"2018-09-26"	"Redcar"	"Champagne Mondays"	"20.00"	"42"	"Handicap Nursery"	"4"	"19"	"Ladd, Theodore"	"Dixon, Scott"
"17:10:00"	"2018-05-03"	"Redcar"	"Thundercloud"	"16.00"	"26.35"	"Handicap"	"1"	"12"	"Kingscote, Richard"	"Dixon, Scott"
"14:40:00"	"2018-05-03"	"Redcar"	"Thunderbell"	"200.00"	"615"	"Novices"	"7"	"7"	"Allan, David"	"Dixon, Scott"
"15:55:00"	"2017-11-07"	"Redcar"	"Nellies Dancer"	"9.00"	"13.41"	"Handicap"	"2"	"14"	"Allan, David"	"Dixon, Scott"
"13:20:00"	"2017-11-07"	"Redcar"	"Break The Silence"	"6.00"	"7.47"	"Handicap"	"1"	"14"	"ONeill, K T"	"Dixon, Scott"
"17:40:00"	"2017-10-07"	"Redcar"	"Coiste BoDhar (IRE)"	"16.00"	"28.86"	"Handicap"	"14"	"17"	"Buckell, Georgean"	"Dixon, Scott"
"16:55:00"	"2017-08-02"	"Redcar"	"Le Laitier (FR)"	"12.00"	"17.67"	"Handicap"	"9"	"14"	"Allan, David"	"Dixon, Scott"
"16:55:00"	"2017-08-02"	"Redcar"	"Tilly Devine"	"16.00"	"26.35"	"Handicap"	"13"	"14"	"Mathers, Patrick"	"Dixon, Scott"
"17:10:00"	"2017-06-24"	"Redcar"	"Ebitda"	"7.00"	"9"	"Handicap"	"7"	"15"	"McDonald, P J"	"Dixon, Scott"
"14:40:00"	"2017-05-22"	"Redcar"	"Ebitda"	"25.00"	"38.38"	"Handicap"	"1"	"16"	"Morris, Luke"	"Dixon, Scott"
"16:10:00"	"2016-11-01"	"Redcar"	"Armelle (FR)"	"33.00"	"55"	"Handicap"	"14"	"18"	"Hambling, Miss N"	"Dixon, Scott"
"17:50:00"	"2016-06-18"	"Redcar"	"Lady Elizabeth (IRE)"	"20.00"	"35.45"	"Handicap"	"9"	"11"	"Clark, Ryan"	"Dixon, Scott"
"15:35:00"	"2016-04-28"	"Redcar"	"Albert Boy (IRE)"	"2.75"	"3.85"	"Handicap"	"2"	"7"	"Tudhope, Daniel"	"Dixon, Scott"
"15:00:00"	"2016-04-11"	"Redcar"	"Albert Boy (IRE)"	"0.91"	"2.11"	"Maiden"	"1"	"6"	"Curtis, B A"	"Dixon, Scott"
"16:00:00"	"2015-11-03"	"Redcar"	"Armelle (FR)"	"5.00"	"6.4"	"Handicap"	"10"	"19"	"Morris, Luke"	"Dixon, Scott"
"16:15:00"	"2015-10-26"	"Redcar"	"Armelle (FR)"	"8.00"	"9.36"	"Handicap"	"2"	"19"	"Brouder, Gearoid"	"Dixon, Scott"
"16:15:00"	"2015-10-26"	"Redcar"	"Coiste BoDhar (IRE)"	"16.00"	"22.87"	"Handicap"	"12"	"19"	"ODonnell, P C"	"Dixon, Scott"
"15:10:00"	"2015-10-26"	"Redcar"	"High Intensity"	"25.00"	"38"	"Handicap"	"8"	"12"	"ONeill, K T"	"Dixon, Scott"
"13:30:00"	"2015-10-26"	"Redcar"	"Lady Elizabeth (IRE)"	"14.00"	"16.1"	"Handicap Nursery"	"7"	"10"	"Eaves, Tom"	"Dixon, Scott"
"17:50:00"	"2015-10-03"	"Redcar"	"Pastureyes"	"20.00"	"26.59"	"Handicap"	"12"	"12"	"Curtis, B A"	"Dixon, Scott"
"13:50:00"	"2015-10-03"	"Redcar"	"Albert Boy (IRE)"	"66.00"	"234.95"	"Maiden"	"5"	"9"	"Allan, David"	"Dixon, Scott"
"18:05:00"	"2015-09-23"	"Redcar"	"Cloak And Degas (IRE)"	"20.00"	"32.53"	"Handicap"	"8"	"19"	"ONeill, K T"	"Dixon, Scott"
"17:50:00"	"2015-09-08"	"Redcar"	"Le Laitier (FR)"	"10.00"	"12.05"	"Handicap"	"2"	"10"	"ODonnell, P C"	"Dixon, Scott"
"15:20:00"	"2015-08-08"	"Redcar"	"Le Laitier (FR)"	"25.00"	"37.45"	"Handicap"	"11"	"13"	"McHugh, B"	"Dixon, Scott"
"17:15:00"	"2015-07-29"	"Redcar"	"Cadeaux Pearl"	"12.00"	"17.81"	"Handicap"	"9"	"18"	"Swift, Mr Dale"	"Dixon, Scott"
"14:20:00"	"2015-07-29"	"Redcar"	"Albert Boy (IRE)"	"40.00"	"70"	"Maiden"	"7"	"9"	"Swift, Mr Dale"	"Dixon, Scott"
"13:50:00"	"2015-07-29"	"Redcar"	"Pilgrims Path"	"66.00"	"96.39"	"Maiden"	"5"	"10"	"Swift, Mr Dale"	"Dixon, Scott"
"12:40:00"	"2015-04-06"	"Redcar"	"Pastureyes"	"7.00"	"8.21"	"Handicap"	"4"	"6"	"Parkes, D A"	"Dixon, Scott"
"16:00:00"	"2014-11-04"	"Redcar"	"Armelle (FR)"	"3.00"	"4.8"	"Handicap"	"4"	"20"	"Steward, Louis"	"Dixon, Scott"
"16:00:00"	"2014-11-04"	"Redcar"	"Masked Dance (IRE)"	"16.00"	"24.15"	"Handicap"	"16"	"20"	"Eaves, Tom"	"Dixon, Scott"
"16:10:00"	"2014-10-27"	"Redcar"	"Armelle (FR)"	"7.00"	"9.6"	"Handicap"	"2"	"18"	"Parkes, D A"	"Dixon, Scott"
"20:00:00"	"2014-08-23"	"Redcar"	"Armelle (FR)"	"2.25"	"3.74"	"Handicap"	"1"	"15"	"Hopkins, Matthew"	"Dixon, Scott"
"20:00:00"	"2014-08-23"	"Redcar"	"Wimboldsley"	"6.00"	"9.4"	"Handicap"	"8"	"15"	"Brennan, I J"	"Dixon, Scott"
"16:55:00"	"2014-08-09"	"Redcar"	"Pennine Warrior"	"14.00"	"15.5"	"Handicap"	"2"	"12"	"Morris, Luke"	"Dixon, Scott"
"17:35:00"	"2014-07-30"	"Redcar"	"Wimboldsley"	"40.00"	"45.88"	"Handicap"	"1"	"12"	"Brennan, I J"	"Dixon, Scott"
"17:00:00"	"2014-07-30"	"Redcar"	"Spowarticus"	"33.00"	"42"	"Handicap"	"5"	"15"	"Brennan, I J"	"Dixon, Scott"
"14:05:00"	"2014-07-30"	"Redcar"	"Crosse Fire"	"4.50"	"7.64"	"Maiden"	"7"	"11"	"Swift, Mr Dale"	"Dixon, Scott"
"15:10:00"	"2014-07-20"	"Redcar"	"Biscuiteer"	"16.00"	"23.97"	"Handicap"	"9"	"10"	"Morris, Luke"	"Dixon, Scott"
"17:20:00"	"2014-05-27"	"Redcar"	"Spowarticus"	"16.00"	"28"	"Handicap Maiden"	"6"	"11"	"Locking, Mr K"	"Dixon, Scott"
"16:45:00"	"2014-05-26"	"Redcar"	"Procurer (FR)"	"25.00"	"49.08"	"Maiden"	"2"	"5"	"Hopkins, Matthew"	"Dixon, Scott"
"15:20:00"	"2014-05-19"	"Redcar"	"Biscuiteer"	"12.00"	"19"	"Handicap"	"5"	"11"	"Morris, Luke"	"Dixon, Scott"
"14:50:00"	"2014-05-19"	"Redcar"	"La Paiva (FR)"	"22.00"	"28.58"	"Handicap"	"9"	"12"	"Morris, Luke"	"Dixon, Scott"
"15:25:00"	"2014-05-01"	"Redcar"	"Piceno (IRE)"	"18.00"	"23"	"Handicap"	"3"	"10"	"Hopkins, Matthew"	"Dixon, Scott"
"18:10:00"	"2014-04-21"	"Redcar"	"Le Laitier (FR)"	"8.00"	"9.49"	"Handicap"	"1"	"16"	"Lee, G"	"Dixon, Scott"
"18:10:00"	"2014-04-21"	"Redcar"	"La Paiva (FR)"	"33.00"	"60"	"Handicap"	"7"	"16"	"Hopkins, Matthew"	"Dixon, Scott"
"15:00:00"	"2012-09-11"	"Redcar"	"Tartania"	"20.00"	"31.44"	"Maiden"	"5"	"8"	"Demuro, M"	"Dixon, Scott"
