RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"17:30:00"	"2026-07-31"	"Galway"	"Vicar Street (IRE)"	"1.63"	"3.1"	"Beginners Chase"	"1"	"9"	"Cobden, Harry"	"Mullins, W P"	"2m6.5f "	"7"	"55"
"17:30:00"	"2026-07-31"	"Galway"	"Talk In The Park (IRE)"	"4.00"	"6.2"	"Beginners Chase"	"5"	"9"	"Donoghue, K M"	"OSullivan, Ross"	"2m6.5f "	"8"	"53"
"18:12:00"	"2026-07-30"	"Galway"	"Run Ted Run (IRE)"	"1.25"	"2.39"	"NH Flat"	"1"	"16"	"Mullins, Mr P W"	"Mullins, W P"	"2m2f "	"5"	"No Prev"
"18:12:00"	"2026-07-30"	"Galway"	"Dieux Diligence (IRE)"	"3.33"	"5.68"	"NH Flat"	"3"	"16"	"Swan, H C"	"OBrien, Joseph Patrick"	"2m2f "	"4"	"54"
"18:12:00"	"2026-07-30"	"Galway"	"Rond Point"	"16.00"	"29.36"	"NH Flat"	"4"	"16"	"Barry, Mr J C"	"Durkan, William"	"2m2f "	"5"	"No Prev"
"18:12:00"	"2026-07-30"	"Galway"	"Colliers Quay (IRE)"	"40.00"	"71.27"	"NH Flat"	"5"	"16"	"Dunne, Mr J"	"McCarthy, Eoin Christopher"	"2m2f "	"5"	"No Prev"
"18:12:00"	"2026-07-30"	"Galway"	"Macdonagh Park (IRE)"	"14.00"	"24.77"	"NH Flat"	"7"	"16"	"Maguire, Mr F"	"Hogan, Denis Gerard"	"2m2f "	"5"	"90"
"18:12:00"	"2026-07-30"	"Galway"	"Gusserane (IRE)"	"125.00"	"309.75"	"NH Flat"	"11"	"16"	"Orourke, JP"	"ORourke, P"	"2m2f "	"5"	"59"
"18:12:00"	"2026-07-30"	"Galway"	"Girl From The West"	"100.00"	"189.01"	"NH Flat"	"13"	"16"	"Goff, Mr O M"	"Cavanagh, S"	"2m2f "	"4"	"20"
"15:20:00"	"2026-07-30"	"Galway"	"Shadow Paddy (IRE)"	"2.50"	"3.72"	"Novices Chase"	"1"	"7"	"Noonan, G B"	"McCarthy, Eoin Christopher"	"2m2f "	"6"	"13"
"15:20:00"	"2026-07-30"	"Galway"	"Le Coq Hardi (IRE)"	"4.00"	"5.18"	"Novices Chase"	"4"	"7"	"OKeeffe, Darragh"	"Bromhead, Henry De"	"2m2f "	"7"	"45"
"17:35:00"	"2026-07-29"	"Galway"	"Mighty Berkshire (IRE)"	"7.50"	"13"	"Handicap Hurdle"	"1"	"19"	"Queally, Mr D L"	"Queally, Declan"	"2m6f "	"6"	"59"
